image_id,model,k-shot,input,description_type,CLIPScore,RefCLIPScore,bleu-4,meteor,rouge,cider
0094009498209000,gpt-4,k-3,image-and-context,functional,0.570212602615356,0.6981815099716181,0.246013725750925,0.27959173450205504,0.5551763367463021,0.8391422142784271
686869694d4dc4d4,gpt-4,k-3,image-and-context,functional,0.6295171976089471,0.74012017250061,0.189499605419563,0.23501168969680403,0.47614917606244506,0.39200862996067803
e969697261696971,gpt-4,k-3,image-and-context,functional,0.685945272445678,0.7888443470001221,0.08693502235713,0.17672178633108301,0.37486033519553,0.000117199438274
0020964898124800,gpt-4,k-3,image-and-context,functional,0.5978174805641171,0.7389010190963741,0.574908987122942,0.43299874414535905,0.821761658031088,3.417348677787505
2bd4d4b2b294cc23,gpt-4,k-3,image-and-context,functional,0.8332663774490351,0.8985602259635921,0.20444096560493702,0.27664379433897,0.554545454545454,0.14052861100573902
63e4c4e869d29aa8,gpt-4,k-3,image-and-context,functional,0.6987507343292231,0.7946984171867371,3.153715943151851e-05,0.22072293362449902,0.44386694386694303,0.036092609658098004
0479f030e686cc44,gpt-4,k-3,image-and-context,functional,0.7410638928413391,0.8281900882720941,0.27302454119263203,0.355999060035019,0.541620421753607,4.824355383747845
2060708c8c8cc8c0,gpt-4,k-3,image-and-context,functional,0.671386420726776,0.7584487199783321,3.8819858751300705e-09,0.21060332259769002,0.33763837638376304,0.372982463870626
b16c44a4a2cec4ea,gpt-4,k-3,image-and-context,functional,0.730748832225799,0.8051877617835991,0.257722945054216,0.347398454883011,0.6224489795918361,0.749736093767682
31cc86b28eaad071,gpt-4,k-3,image-and-context,functional,0.6627839803695671,0.789655804634094,0.156472475769197,0.273168323428009,0.44822979291917103,1.751967107632925
15303694d5d63631,gpt-4,k-3,image-and-context,functional,0.602155745029449,0.733635902404785,0.32559641259377103,0.353869726054904,0.5965770171149141,1.438811053315649
7171556df1d9f1f5,gpt-4,k-3,image-and-context,functional,0.724067091941833,0.8003492951393121,1.2662536362837181e-05,0.13981171397233402,0.343855693348365,0.073744345530314
33e88eb2b28ee833,gpt-4,k-3,image-and-context,functional,0.8401765823364251,0.888743340969085,0.38305978175605504,0.508263686851831,0.683299389002036,0.6092730394291781
b001d69c98aa002a,gpt-4,k-3,image-and-context,functional,0.6810342669487001,0.793218195438385,2.8397302840680954e-05,0.291942761694828,0.43571428571428505,0.092924188281266
33694d496d6c4949,gpt-4,k-3,image-and-context,functional,0.842093288898468,0.8947394490242001,0.15639686544681503,0.279928380629315,0.487025948103792,1.903044579269979
00eabad2e2c2c204,gpt-4,k-3,image-and-context,functional,0.756336390972137,0.856732726097106,0.6162607099232581,0.5049597641191761,0.8580562659846541,5.311245955475739
34d2c8a0ccd434ba,gpt-4,k-3,image-and-context,functional,0.561112523078918,0.717486441135406,0.9121679089201411,0.6113432417041601,0.923076923076923,8.679878741913216
a843ab9995ab5001,gpt-4,k-3,image-and-context,functional,0.717669606208801,0.7932211160659791,0.270919885441463,0.33594349856515204,0.739393939393939,1.1407475203176
b4d1f0dab6b6c8e4,gpt-4,k-3,image-and-context,functional,0.697561383247375,0.7835417985916131,2.837208823775785e-05,0.268211173618545,0.6646489104116221,0.7777137862043301
236cd694e4323434,gpt-4,k-3,image-and-context,functional,0.78137993812561,0.856175482273101,2.7957974304671074e-05,0.35605210123059,0.523854961832061,2.108809664792934
45cc23450d0382d0,gpt-4,k-3,image-and-context,functional,0.64299988746643,0.7756826281547541,0.36791347267308105,0.37408718487931003,0.704749679075738,5.127647217170576
59b4e4ccc469c2c0,gpt-4,k-3,image-and-context,functional,0.630752921104431,0.763288736343383,0.33649324420791604,0.44538524379049904,0.6440422322775261,0.746578032494837
00694dd4d6929200,gpt-4,k-3,image-and-context,functional,0.755118072032928,0.8337237834930421,0.28917849329786904,0.39326466037099,0.7124087591240871,2.699272878123788
31316955d49692cc,gpt-4,k-3,image-and-context,functional,0.813816428184509,0.8729507923126221,2.9256127306209092e-09,0.268515631392432,0.399214659685863,0.8524413295900951
84b0d4d4d4ccf004,gpt-4,k-3,image-and-context,functional,0.787832498550415,0.8612059950828551,2.8397302840680954e-05,0.291942761694828,0.43571428571428505,0.092924188281266
02c8d4d6c2d4d802,gpt-4,k-3,image-and-context,functional,0.591580331325531,0.7412871718406671,0.782542289973532,0.576977022420896,0.9694376528117351,5.804788695195678
4b1bc3c9e9c3030b,gpt-4,k-3,image-and-context,functional,0.767510533332824,0.859004914760589,0.48615554119831605,0.34987593549406804,0.660990712074303,0.792233909133047
70ccd4cc6932b430,gpt-4,k-3,image-and-context,functional,0.6310521364212031,0.760863721370697,0.33982435118646404,0.29386618385760005,0.541620421753607,1.180287929439091
2a15eabab6479000,gpt-4,k-3,image-and-context,functional,0.742722272872924,0.8510165214538571,0.7426141116403051,0.51612104421236,0.9490806223479491,6.028275864757491
518ee8f0f0e88631,gpt-4,k-3,image-and-context,functional,0.5530151128768921,0.703962385654449,0.729257172317037,0.5363120872899041,0.876436781609195,7.287321436809685
