image_id,model,k-shot,input,description_type,CLIPScore,RefCLIPScore,bleu-4,meteor,rouge,cider
0094009498209000,gpt-4,k-0,image-and-context,visual,0.7876037359237671,0.828373670578002,0.42728700634506905,0.446213867499877,0.680297397769516,2.8218564543838482
686869694d4dc4d4,gpt-4,k-0,image-and-context,visual,0.669979155063629,0.7262241244316101,6.484115070705436e-09,0.24668871547453403,0.384251968503937,0.6050629123074941
e969697261696971,gpt-4,k-0,image-and-context,visual,0.7740818262100221,0.7771952152252191,1.070161076820511e-09,0.12003579669020001,0.21919917864476302,5.154811922644269e-05
0020964898124800,gpt-4,k-0,image-and-context,visual,0.7976775765419001,0.8076312541961671,0.349876114882878,0.486817497144834,0.6466431095406361,2.128276073981911
2bd4d4b2b294cc23,gpt-4,k-0,image-and-context,visual,0.7415144443511961,0.745402097702026,2.3110850758859114e-05,0.16604400060017802,0.36166007905138303,0.267052466657136
63e4c4e869d29aa8,gpt-4,k-0,image-and-context,visual,0.650311589241027,0.727302610874176,0.217974691227862,0.31716864383730303,0.597506678539626,0.806215766229028
0479f030e686cc44,gpt-4,k-0,image-and-context,visual,0.7805908322334291,0.7702232003211971,3.6259369369191447e-09,0.155652590230998,0.266375545851528,0.287896114815755
2060708c8c8cc8c0,gpt-4,k-0,image-and-context,visual,0.704980492591857,0.7242377996444701,1.184310666492922e-05,0.107643867497988,0.31565329883570503,0.020181238485142
b16c44a4a2cec4ea,gpt-4,k-0,image-and-context,visual,0.8309633135795591,0.857645630836486,2.1816741268958334e-05,0.15222057553669302,0.27828467153284603,0.290639489868919
31cc86b28eaad071,gpt-4,k-0,image-and-context,visual,0.75623881816864,0.7913912534713741,8.555261857688026e-09,0.320955424565158,0.45353159851301106,0.937789358442742
15303694d5d63631,gpt-4,k-0,image-and-context,visual,0.7148610949516291,0.8207342028617851,6.9171842276476145e-09,0.37427801191024,0.5220048899755501,1.27283323556653
7171556df1d9f1f5,gpt-4,k-0,image-and-context,visual,0.932385802268981,0.9060561656951901,4.9883494348816036e-05,0.255588334654686,0.43458549222797904,1.099772922531139
33e88eb2b28ee833,gpt-4,k-0,image-and-context,visual,0.7494685649871821,0.8003802895545961,0.38992498154974403,0.30843346846178005,0.49571106094808104,1.589984559691741
b001d69c98aa002a,gpt-4,k-0,image-and-context,visual,0.8307087421417231,0.8344736099243161,0.22997519110875403,0.42469314840189704,0.563944530046225,1.240482887368432
