sample_id,difficulty
000006d0d8260000,1.3333333333333333
0000664bda380800,3.0
0001d6d490aa0088,1.0
000413acaed32c00,1.0
001026da9a275000,1.0
001854b49ce8c200,1.5
0020964898124800,1.0
0024009a8e002800,1.0
00259aecb4120901,1.0
003e0c2c28b89900,4.0
004218facacc44a2,2.0
004dd49292d66838,2.5
0059a6a4d9621440,3.0
006080c1f0dc2cd5,2.0
00694dd4d6929200,2.0
0070cea2e4501044,3.0
0074cca6e6543000,4.5
00804796b22f5000,1.3333333333333333
009030f488b01080,4.333333333333333
00920096d0209200,1.0
00929b717126ae10,4.5
0094009498209000,1.3333333333333333
00a6cc8e10500000,1.6666666666666667
00a6cc8e10b03000,2.0
00b2c49696ccf000,2.5
00b2d49696ccf000,2.5
00c07010daa2cc40,4.0
00c0e0b9b8cc0e00,3.3333333333333335
00c1130a0a2cc409,1.0
00d8868386d49802,3.5
00e070c88cccc8e0,2.0
00e070c88cccd8e0,1.5
00e4d9f06cb2a408,2.3333333333333335
00eabad2e2c2c204,3.5
00f0d492b2cef000,2.0
00f2c4b2b6ccf000,2.3333333333333335
00f2ce9ab2cef000,1.6666666666666667
012105d29a270101,2.0
01f4e855d4686912,3.0
022107d29a2f5101,1.0
026854d0ec293054,2.0
0278d4c2c6d49804,2.0
02c8d4d6c2d4d802,3.0
02c9c4c6c6c4c902,2.0
02d8d4a28296d800,2.3333333333333335
02d91c5a1ec2e200,3.6666666666666665
030494b1a96e2611,1.0
033036d252541631,1.5
03842beb57992201,2.5
03c0c7c3a181c045,3.0
03cccccc8696d401,1.5
04226955d496b24d,1.5
0472696870616916,3.0
0479f030e686cc44,3.5
0493a99bbaa99304,3.5
0500a9979da900a9,3.0
051131d492540101,2.0
0519386468694131,1.0
0519b186c66c0231,2.0
05303694d5561271,3.5
0631317190d4c055,3.0
0669c4f0c4d69661,3.0
0670c49296cc7006,2.0
0670d49696d47006,2.5
0731b13190d4d055,3.5
0831e8cad4d47502,1.0
08d496b2b292d450,3.0
0966e2c2c2e2e204,2.5
097c529ad2d2d218,3.5
09e6d2c2e2c2d229,2.3333333333333335
0c12d9d8c8d912ac,1.0
0c73e00e31c66491,1.5
0ef17854d5e1708f,5.0
1030307842da9818,3.0
104cccbeccae8200,1.5
106866d5d0e6b44b,3.0
106866d5d2e6b44b,3.0
10b0aa6971f0c4e0,2.0
11a296b2b686a813,2.6666666666666665
1204d4d4d4d8db24,3.6666666666666665
1265646869d29a64,2.3333333333333335
1265646869d39b65,3.0
12f0dcd494ccf032,2.5
138c78da96e09926,3.5
13e88eb2b28ee833,3.0
14b26955d496b2c4,2.3333333333333335
1530369292d43631,2.0
15303694d5d63631,2.0
157149d5d5493155,1.5
16696d54d496b26d,2.5
1671d49696c47016,2.5
17aa9692b28ef017,3.0
17aa9696b28ef017,2.6666666666666665
17e8d49696d4f017,3.0
17f0ccaaaaccf017,2.5
18316c4cd8e06448,2.0
1852e4b1e8e8b2b0,3.5
18c1c0c0c538b935,3.0
19d2e4b9e8e8b2b0,3.5
1bd48a899996d83b,3.3333333333333335
1d685b9295859519,3.5
1dcdc8f831f5e125,3.5
20007686128c0084,2.3333333333333335
200770c636980b80,2.0
2043d6d498aa0020,1.0
204c21a6dcc96205,2.0
2060708c8c8cc8c0,1.5
20d0c8a8c8ecbc34,3.0
2101a2e459630001,1.5
2141c8d6b6c0c121,1.0
22006a52526a0048,1.0
224dcc8c8ea2c401,1.5
22ddc8cacac8cd32,2.5
236cd694e4323434,3.3333333333333335
239886a3a396d823,2.0
23cccc552faa54aa,2.3333333333333335
23d094aca284d926,3.0
246273d49ccde1f5,1.6666666666666667
24806c5754688028,1.0
249038ec80c400a0,1.5
24d3a726769c8b64,3.0
2555586469614959,3.3333333333333335
265eb85cbcbcd622,3.0
269978e6e6781946,1.0
26d9c68b8a949966,3.5
26d9d8d6d6d8d926,3.0
27d896ad8d96d926,3.0
2832b16c785969e8,4.666666666666667
286945d496b2e860,2.5
28d0d2e9694c6c68,2.0
28d0d2e9694c6ce0,3.0
293936324a6a2a2a,3.0
2969706c64ecd964,3.0
2969a924d0d9f5e1,3.5
29dcd6e2c2d4c983,2.5
2a042aa98d628842,1.0
2a156a6a224b2000,1.5
2a15eabab6479000,1.0
2b545454d5d5d4c8,4.0
2bd45454d5d5d4e8,1.6666666666666667
2bd4d4b2b294cc23,4.5
2cf3ad36268df32c,3.6666666666666665
30305010d0d07168,4.0
3030b0b270683230,2.5
3032b168785969f8,5.0
304bb492b0a54210,3.0
304eb1f9ec649326,1.0
306269656c586264,4.0
3068ccc44c496168,3.6666666666666665
306969d4b2b2b210,4.5
30b068b070786864,2.5
30b068e8d9b1f978,3.0
30b069f070707862,3.3333333333333335
30b070dcc8786860,3.5
30b271d4f0aa3217,3.5
30b2b1696564e828,4.0
30b2b2696928f069,2.6666666666666665
30b2f0694dd0c4a6,4.0
30b571b072705270,3.5
30b86868a9694aa8,3.0
30b869e9a9694a28,2.5
30c4d8b2a6cc6982,3.0
30cb949ab8c43b80,4.0
30cc86b28eaad070,4.0
30cc86b29696cc71,2.6666666666666665
30cc86e9f082cc71,1.3333333333333333
30ccccaaccc6cc8c,3.5
310171386ccc114d,5.0
31316955d49692cc,1.0
314a4cc4e4a4b44b,1.0
